종목코드,회사명,시장구분,ticker,현재주가,시가총액,배당수익률,52주최고,52주최저,PER,PBR,ROE,수집시각
017800,현대엘리베이터,KOSPI,017800.KS,81200.0,2931731202048.0,18.04,113400.0,70500.0,,,0.19327,2026-05-20T21:05:47.599781
302440,SK바이오사이언스,KOSPI,302440.KS,40200.0,3153075109888.0,,61300.0,39950.0,,,-0.02767,2026-05-20T21:05:48.011581
014680,한솔케미칼,KOSPI,014680.KS,276500.0,3014651543552.0,0.84,346500.0,116200.0,,,0.13173,2026-05-20T21:05:48.440626
001450,현대해상,KOSPI,001450.KS,36700.0,2910621794304.0,,44250.0,21800.0,,,0.20601,2026-05-20T21:05:49.041811
028670,팬오션,KOSPI,028670.KS,5780.0,3089811636224.0,2.48,6600.0,3485.0,,,0.052989997,2026-05-20T21:05:49.461097
383220,F&F,KOSPI,383220.KS,76800.0,2882832957440.0,3.42,88200.0,58000.0,,,0.23188,2026-05-20T21:05:49.991432
139130,iM금융지주,KOSPI,139130.KS,18040.0,2897667424256.0,3.82,22000.0,10320.0,,,0.07256,2026-05-20T21:05:50.415044
375500,DL이앤씨,KOSPI,375500.KS,74400.0,3158620241920.0,1.14,106600.0,38450.0,,,0.07338,2026-05-20T21:05:50.827996
020150,롯데에너지머티리얼즈,KOSPI,020150.KS,53800.0,2817262092288.0,,83100.0,19460.0,,,-0.090459995,2026-05-20T21:05:51.255500
001720,신영증권,KOSPI,001720.KS,169900.0,1362130108416.0,2.43,272000.0,103300.0,,,0.07728,2026-05-20T21:05:51.686620
457190,이수스페셜티케미컬,KOSPI,457190.KS,91300.0,2758983024640.0,,131800.0,38050.0,,,,2026-05-20T21:05:52.111299
005850,에스엘,KOSPI,005850.KS,58900.0,2712666898432.0,4.43,77400.0,29900.0,,,0.12707,2026-05-20T21:05:52.519949
483650,달바글로벌,KOSPI,483650.KS,215500.0,2660113580032.0,1.21,274500.0,104600.0,,,0.52593,2026-05-20T21:05:52.926190
009970,영원무역홀딩스,KOSPI,009970.KS,195400.0,2267596980224.0,3.32,262000.0,106400.0,,,0.11807,2026-05-20T21:05:53.349318
012750,에스원,KOSPI,012750.KS,69300.0,2343049625600.0,4.49,103000.0,64300.0,,,0.10451,2026-05-20T21:05:53.769984
007340,DN오토모티브,KOSPI,007340.KS,44550.0,2306009202688.0,1.09,54200.0,20400.0,,,0.14067,2026-05-20T21:05:54.182921
004990,롯데지주,KOSPI,004990.KS,26150.0,1870550663168.0,4.56,39600.0,23950.0,,,-0.06391,2026-05-20T21:05:54.597404
439260,대한조선,KOSPI,439260.KS,65400.0,2491002912768.0,0.37,116000.0,57300.0,,,0.32187,2026-05-20T21:05:55.019267
026960,동서,KOSPI,026960.KS,25250.0,2491481063424.0,4.44,32200.0,23950.0,,,0.084989995,2026-05-20T21:05:55.433802
