종목코드,회사명,시장구분,연도,fs_div,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,cfo,cfi,cff
006400,삼성SDI,KOSPI,2022,CFS,20124069515854.0,1808013013202.0,2039361447986.0,30257525171127.0,13040023014999.0,17217502156128.0,,,
006400,삼성SDI,KOSPI,2023,CFS,22708300498633.0,1633368964768.0,2066046562201.0,34038860192967.0,14131610215445.0,19907249977522.0,,,
006400,삼성SDI,KOSPI,2024,CFS,16592248884388.0,363304463263.0,575512415979.0,40597344536357.0,19030107423830.0,21567237112527.0,,,
006400,삼성SDI,KOSPI,2025,CFS,13266730679499.0,-1722360788760.0,-584875358534.0,42255338580919.0,18685225421089.0,23570113159830.0,,,
055550,신한지주,KOSPI,2023,CFS,,6100850000000.0,4478000000000.0,691795333000000.0,635473468000000.0,56321865000000.0,,,
055550,신한지주,KOSPI,2024,CFS,,6458670000000.0,4558170000000.0,739764256000000.0,680943223000000.0,58821033000000.0,,,
055550,신한지주,KOSPI,2025,CFS,,7023357000000.0,5084519000000.0,786013485000000.0,725641161000000.0,60372324000000.0,,,
068270,셀트리온,KOSPI,2021,CFS,1911601263030.0,756857107226.0,595779438812.0,5674122532472.0,1623747845677.0,4050374686795.0,,,
068270,셀트리온,KOSPI,2022,CFS,2283967480394.0,647198174586.0,542566233270.0,5891652311251.0,1617448041462.0,4274204269789.0,,,
068270,셀트리온,KOSPI,2023,CFS,2176431531380.0,651481422157.0,539706505110.0,19917534297169.0,2791739989934.0,17125794307235.0,,,
068270,셀트리온,KOSPI,2024,CFS,3557303554371.0,492015534847.0,418883310404.0,21055222437706.0,3475160069015.0,17580062368691.0,,,
068270,셀트리온,KOSPI,2025,CFS,4162495108881.0,1168471345595.0,1031483789240.0,22334900189800.0,4982370370686.0,17352529819114.0,,,
267260,HD현대일렉트릭,KOSPI,2021,CFS,1805991746883.0,9736360055.0,-33686739374.0,2214970249748.0,1568748135135.0,646222114613.0,,,
267260,HD현대일렉트릭,KOSPI,2022,CFS,2104499487335.0,133040987326.0,162017992899.0,2435030170738.0,1603861296111.0,831168874627.0,,,
267260,HD현대일렉트릭,KOSPI,2023,CFS,2702799337370.0,315218290721.0,259455508262.0,2910160077690.0,1853129751520.0,1057030326170.0,,,
267260,HD현대일렉트릭,KOSPI,2024,CFS,3322349007529.0,668970713547.0,498409535389.0,3795545096460.0,2288027971862.0,1507517124598.0,,,
267260,HD현대일렉트릭,KOSPI,2025,CFS,4079497658529.0,995313437790.0,731816191305.0,4769815393358.0,2736880469339.0,2032934924019.0,,,
034730,SK,KOSPI,2021,CFS,98325016000000.0,4935539000000.0,5718424000000.0,165380861000000.0,99815712000000.0,65565149000000.0,,,
034730,SK,KOSPI,2022,CFS,134551641000000.0,8004710000000.0,3966176000000.0,194505860000000.0,122697070000000.0,71808790000000.0,,,
034730,SK,KOSPI,2023,CFS,131237878000000.0,5056378000000.0,-406387000000.0,206970264000000.0,129091214000000.0,77879050000000.0,,,
034730,SK,KOSPI,2024,CFS,124690439000000.0,2355290000000.0,528810000000.0,214977754000000.0,134690218000000.0,80287536000000.0,,,
034730,SK,KOSPI,2025,CFS,122703338000000.0,1818476000000.0,3555246000000.0,213519668000000.0,127828333000000.0,85691335000000.0,,,
010120,LS ELECTRIC,KOSPI,2021,CFS,2668264980253.0,155131916609.0,85310345509.0,2796731557614.0,1323312292962.0,1473419264652.0,,,
010120,LS ELECTRIC,KOSPI,2022,CFS,3377070215838.0,187524016869.0,91209999630.0,3322804977898.0,1773513972232.0,1549291005666.0,,,
010120,LS ELECTRIC,KOSPI,2023,CFS,4230482628448.0,324877723039.0,207672688149.0,3732891934230.0,2008849631067.0,1724042303163.0,,,
010120,LS ELECTRIC,KOSPI,2024,CFS,4551837252467.0,389717122317.0,242237998768.0,4485197464384.0,2595105380936.0,1890092083448.0,,,
010120,LS ELECTRIC,KOSPI,2025,CFS,4965798552980.0,426407143017.0,284256733172.0,4956680318372.0,2815381465996.0,2141298852376.0,,,
006800,미래에셋증권,KOSPI,2023,CFS,20359463366897.0,521036811624.0,337857808122.0,128177312090956.0,116938445976567.0,11238866114389.0,,,
006800,미래에셋증권,KOSPI,2024,CFS,22242327609027.0,1188076348199.0,925470295452.0,137176998056307.0,124913289504539.0,12263708551768.0,,,
006800,미래에셋증권,KOSPI,2025,CFS,29283028000000.0,1915104000000.0,1582916000000.0,150283930000000.0,136805727000000.0,13478203000000.0,,,
042660,한화오션,KOSPI,2021,CFS,4486585681366.0,-1754651375507.0,-1699829429734.0,10623209555073.0,8405626102183.0,2217583452890.0,,,
042660,한화오션,KOSPI,2022,CFS,4860150249534.0,-1613564533698.0,-1744778447657.0,12235665304876.0,11490693372918.0,744971931958.0,,,
042660,한화오션,KOSPI,2023,CFS,7408312265643.0,-196498300366.0,160043854483.0,13944772692394.0,9632615571697.0,4312157120697.0,,,
042660,한화오션,KOSPI,2024,CFS,10776004933627.0,237876379317.0,528212898147.0,17843809161295.0,12980459270570.0,4863349890725.0,,,
042660,한화오션,KOSPI,2025,CFS,12783512278323.0,1167590137928.0,1245921538208.0,20140914014349.0,13965907018538.0,6175006995811.0,,,
298040,효성중공업,KOSPI,2021,CFS,3094698644786.0,120066031213.0,76516679128.0,4022701434672.0,2985558691550.0,1037142743122.0,,,
298040,효성중공업,KOSPI,2022,CFS,3510143917637.0,143248629974.0,29129546895.0,4693470608273.0,3590259543651.0,1103211064622.0,,,
298040,효성중공업,KOSPI,2023,CFS,4300571503251.0,257836947601.0,131922316419.0,4761300218430.0,3537140808779.0,1224159409651.0,,,
298040,효성중공업,KOSPI,2024,CFS,4894979612220.0,362479487133.0,222929444192.0,6218812921202.0,4163194426688.0,2055618494514.0,,,
298040,효성중공업,KOSPI,2025,CFS,5968511616609.0,746968417289.0,502837667965.0,7227883006296.0,4738162049013.0,2489720957283.0,,,
005490,POSCO홀딩스,KOSPI,2021,CFS,76332345050013.0,9238089232877.0,7195889963608.0,91471614111915.0,36666670760250.0,54804943351665.0,,,
005490,POSCO홀딩스,KOSPI,2022,CFS,,4850053015766.0,3560483538695.0,98406780635254.0,40149380046004.0,58257400589250.0,,,
005490,POSCO홀딩스,KOSPI,2023,CFS,77127197108585.0,3531422506439.0,1845849532200.0,100945394185079.0,41281496791611.0,59663897393468.0,,,
005490,POSCO홀딩스,KOSPI,2024,CFS,72688143160111.0,2173573272904.0,947580322052.0,103404198997805.0,41953831078121.0,61450367919684.0,,,
005490,POSCO홀딩스,KOSPI,2025,CFS,69094886192787.0,1827063210829.0,504403472266.0,105192437963565.0,42814746926182.0,62377691037383.0,,,
086790,하나금융지주,KOSPI,2023,CFS,,4693407000000.0,3468356000000.0,591925995000000.0,551744278000000.0,40181717000000.0,,,
086790,하나금융지주,KOSPI,2024,CFS,,4855182000000.0,3768529000000.0,637847513000000.0,594270586000000.0,43576927000000.0,,,
086790,하나금융지주,KOSPI,2025,CFS,,5350898000000.0,4036638000000.0,674590676000000.0,628945122000000.0,45645554000000.0,,,
035420,NAVER,KOSPI,2021,CFS,6817599707250.0,1325478171117.0,16477625559645.0,33691006757040.0,9663630407765.0,24027376349275.0,,,
035420,NAVER,KOSPI,2022,CFS,8220078708810.0,1304664410543.0,673180300087.0,33899042889136.0,10448720408685.0,23450322480451.0,,,
035420,NAVER,KOSPI,2023,CFS,9670643576585.0,1488820269608.0,985017762493.0,35737826964395.0,11499828148842.0,24237998815553.0,,,
035420,NAVER,KOSPI,2024,CFS,10737719264647.0,1979263438827.0,1931976372953.0,38167876036020.0,11166964187683.0,27000911848337.0,,,
035420,NAVER,KOSPI,2025,CFS,12035007218975.0,2208138388720.0,1818746310015.0,41084496327318.0,12131482961723.0,28953013365595.0,,,
066570,LG전자,KOSPI,2021,CFS,74721629000000.0,3863774000000.0,1414972000000.0,53481478000000.0,33383445000000.0,20098033000000.0,,,
066570,LG전자,KOSPI,2022,CFS,83467318000000.0,3550972000000.0,1863123000000.0,55156141000000.0,32664144000000.0,22491997000000.0,,,
066570,LG전자,KOSPI,2023,CFS,84227765000000.0,3549074000000.0,1150611000000.0,60240793000000.0,36742257000000.0,23498536000000.0,,,
066570,LG전자,KOSPI,2024,CFS,87728182000000.0,3419675000000.0,591365000000.0,65629589000000.0,40417925000000.0,25211664000000.0,,,
066570,LG전자,KOSPI,2025,CFS,89200882000000.0,2478392000000.0,1220412000000.0,68620167000000.0,40068142000000.0,28552025000000.0,,,
009540,HD한국조선해양,KOSPI,2021,CFS,15493381773000.0,-1384815777000.0,-1141204413000.0,27293093978000.0,14879338674000.0,12413755304000.0,,,
009540,HD한국조선해양,KOSPI,2022,CFS,17302020185000.0,-355560593000.0,-295177096000.0,29883476300000.0,17571346490000.0,12312129810000.0,,,
009540,HD한국조선해양,KOSPI,2023,CFS,21296205574000.0,282260719000.0,144930284000.0,32242568184000.0,19872465252000.0,12370102932000.0,,,
009540,HD한국조선해양,KOSPI,2024,CFS,25538577356000.0,1434090492000.0,1454580111000.0,36719137422000.0,22563324218000.0,14155813204000.0,,,
009540,HD한국조선해양,KOSPI,2025,CFS,29933215227000.0,3904489578000.0,2928395265000.0,39542213288000.0,22633860456000.0,16908352832000.0,,,
010130,고려아연,KOSPI,2021,CFS,9976776443636.0,1096146343693.0,811106029144.0,9964048634649.0,2229814171825.0,7734234462824.0,,,
010130,고려아연,KOSPI,2022,CFS,11219358600107.0,919171130822.0,798264387415.0,12097918358974.0,2866186242426.0,9231732116548.0,,,
010130,고려아연,KOSPI,2023,CFS,9704521343024.0,659935424598.0,533378688122.0,12046071311650.0,2404068442780.0,9642002868870.0,,,
010130,고려아연,KOSPI,2024,CFS,12052918410249.0,723472208523.0,194781564506.0,14792322181548.0,7196894404555.0,7595427776993.0,,,
010130,고려아연,KOSPI,2025,CFS,16587850779912.0,1231926775791.0,770249337092.0,20395719724719.0,9211501849078.0,11184217875641.0,,,
042700,한미반도체,KOSPI,2021,CFS,373169401913.0,122419465500.0,104438304265.0,429285683427.0,82473641150.0,346812042277.0,,,
042700,한미반도체,KOSPI,2022,CFS,327592058714.0,111859422080.0,92259257411.0,455432965985.0,65336210199.0,390096755786.0,,,
042700,한미반도체,KOSPI,2023,CFS,159008528366.0,34571410992.0,267167515858.0,723839103741.0,151940478614.0,571898625127.0,,,
042700,한미반도체,KOSPI,2024,CFS,558917191547.0,255391604854.0,152614498001.0,710872366678.0,169984503289.0,540887863389.0,,,
042700,한미반도체,KOSPI,2025,CFS,576684619527.0,251390142142.0,214007548411.0,813331626120.0,123004106583.0,690327519537.0,,,
010140,삼성중공업,KOSPI,2021,CFS,6622001487326.0,-1311956174022.0,-1452069565718.0,12138595961258.0,8041328855444.0,4097267105814.0,,,
010140,삼성중공업,KOSPI,2022,CFS,5944667452285.0,-854420950816.0,-627411807133.0,14491697984864.0,10919760587958.0,3571937396906.0,,,
010140,삼성중공업,KOSPI,2023,CFS,8009429912108.0,233344768042.0,-155556375770.0,15593389152394.0,12184181554327.0,3409207598067.0,,,
010140,삼성중공업,KOSPI,2024,CFS,9903077919464.0,502698683088.0,53877228765.0,17194637128138.0,13445186022785.0,3749451105353.0,,,
010140,삼성중공업,KOSPI,2025,CFS,10650010702818.0,862210880029.0,535753735212.0,14948871093928.0,10853831158873.0,4095039935055.0,,,
000810,삼성화재,KOSPI,2023,CFS,,2357283417485.0,1821614343047.0,85019029989421.0,68874631707984.0,16144398281437.0,,,
000810,삼성화재,KOSPI,2024,CFS,,2649596688033.0,2076797712983.0,87269492540789.0,71667277794649.0,15602214746140.0,,,
000810,삼성화재,KOSPI,2025,CFS,,2659143002144.0,2020287132255.0,96450389944868.0,75158009988554.0,21292379956314.0,,,
000150,두산,KOSPI,2021,CFS,13204153075980.0,945931226947.0,656730965019.0,26009852171749.0,17512799235250.0,8497052936499.0,,,
000150,두산,KOSPI,2022,CFS,16995760103010.0,1126028726422.0,-581168717784.0,26315352623211.0,16017536857154.0,10297815766057.0,,,
000150,두산,KOSPI,2023,CFS,19130129881903.0,1436262204451.0,272073643932.0,28286808651585.0,17080070105878.0,11206738545707.0,,,
000150,두산,KOSPI,2024,CFS,18132874000000.0,1003759000000.0,302227000000.0,30143063000000.0,18253581000000.0,11889482000000.0,,,
000150,두산,KOSPI,2025,CFS,19784138000000.0,1062715000000.0,249511000000.0,32927788000000.0,20693467000000.0,12234321000000.0,,,
015760,한국전력,KOSPI,2021,CFS,60574819000000.0,-5860143000000.0,-5229225000000.0,211108870000000.0,145797021000000.0,65311849000000.0,,,
015760,한국전력,KOSPI,2022,CFS,71257863000000.0,-32655153000000.0,-24429108000000.0,234804994000000.0,192804738000000.0,42000256000000.0,,,
015760,한국전력,KOSPI,2023,CFS,88219461000000.0,-4541648000000.0,-4716144000000.0,239714965000000.0,202450215000000.0,37264750000000.0,,,
015760,한국전력,KOSPI,2024,CFS,93398896000000.0,8364710000000.0,3621968000000.0,246807795000000.0,205444962000000.0,41362833000000.0,,,
015760,한국전력,KOSPI,2025,CFS,97429346000000.0,13490557000000.0,8666656000000.0,254927457000000.0,205604513000000.0,49322944000000.0,,,
051910,LG화학,KOSPI,2021,CFS,42654722000000.0,5025466000000.0,3953904000000.0,51135302000000.0,27925314000000.0,23209988000000.0,,,
051910,LG화학,KOSPI,2022,CFS,51864888000000.0,2995698000000.0,2195518000000.0,67973823000000.0,30492696000000.0,37481127000000.0,,,
051910,LG화학,KOSPI,2023,CFS,55249785000000.0,2529196000000.0,2053425000000.0,77466694000000.0,36528509000000.0,40938185000000.0,,,
051910,LG화학,KOSPI,2024,CFS,48916104000000.0,916798000000.0,515011000000.0,93857762000000.0,45862299000000.0,47995463000000.0,,,
051910,LG화학,KOSPI,2025,CFS,45932167000000.0,1180900000000.0,-977063000000.0,101061661000000.0,53956116000000.0,47105545000000.0,,,
316140,우리금융지주,KOSPI,2023,CFS,,3499029000000.0,2626894000000.0,498004936000000.0,464607446000000.0,33397490000000.0,,,
316140,우리금융지주,KOSPI,2024,CFS,,4255190000000.0,3171469000000.0,525753320000000.0,489858051000000.0,35895269000000.0,,,
316140,우리금융지주,KOSPI,2025,CFS,,3674808000000.0,3227508000000.0,601457286000000.0,563598038000000.0,37859248000000.0,,,
017670,SK텔레콤,KOSPI,2021,CFS,16748585000000.0,1387162000000.0,2418989000000.0,30911277000000.0,18576139000000.0,12335138000000.0,,,
017670,SK텔레콤,KOSPI,2022,CFS,17304973000000.0,1612070000000.0,947831000000.0,31308262000000.0,19153066000000.0,12155196000000.0,,,
017670,SK텔레콤,KOSPI,2023,CFS,17608511000000.0,1753204000000.0,1145937000000.0,30119227000000.0,17890828000000.0,12228399000000.0,,,
017670,SK텔레콤,KOSPI,2024,CFS,17940609000000.0,1823409000000.0,1387095000000.0,30515255000000.0,18687621000000.0,11827634000000.0,,,
